a	art. 一（个）；每一（个）
abandon	vt. 离弃，丢弃；遗弃，抛弃；放弃 n. 放任； 纵情
ability	n. 能力， 本领； 才能， 才智
able	adj. 有能力的；出色的
abnormal	adj. 不正常的；变态的
aboard	adv&prep. 在船上， 上船
about	prep. 关于；在…周围
above	prep. 在…上面；高于
abroad	adv. 到国外； 在传播， 在流传
abruptly	adv. 突然地
absence	n. 缺席， 不在； 缺席的时间， 外出期； 缺乏， 不存在
absent	adj. 缺席的， 不在场的； 缺乏的， 不存在的； 心不在焉的
absolute	adj. 十足的， 地道的； 绝对的， 完全的； 不受任何限制的
absolutely	adv. 完全地；绝对地
absorb	vt. 吸收； 吸引…的注意， 使全神贯注； 把…并入， 同化
abstract	adj. 抽象的，抽象派的 n. 摘要， 梗概； 抽象派艺术作品 vt. 做…的摘要； 提取
abundant	adj. 丰富的， 富裕的； 大量的， 充足的
abuse	vt. 滥用； 虐待， 伤害； 辱骂， 毁谤 n. 滥用； 虐待， 伤害； 辱骂， 毁谤
academic	adj. 学院的； 学术的； 纯理论的， 不切实际的
academy	n. 研究会， 学会； 专门学校
accelerate	vt. 使加快， 使增速
acceleration	n. 加速；加速度
accent	n. 口音， 腔调； 重音
accept	v. 接受；同意
acceptable	adj. 可接受的，合意的
acceptance	n. 接受； 承认； 容忍
access	n. 接近；通道，入口；接近的机会 vt. 存取
accessary	n. 同谋，从犯
accessible	adj. 易接近的
accident	n. 意外事件；事故
accidental	adj. 偶然的；非本质的
accommodate	v. 容纳；供应，供给，提供住宿
accommodation	n. 住处；工作场所
accompany	vt. 陪伴， 陪同， 伴随； 为…伴奏
accomplish	v. 达到（目的）；完成
accord	vi. 相符合； 相一致 n. 一致，符合；谅解，协议 vt. 使符合；使一致；调节；授予，赠与，给予
accordance	n. 一致； 和谐
according	adj. 相等的， 一致的， 依…而定的
accordingly	adv. 因此， 所以； 照着
account	vi. 说明原因； 占 n. 记述；解释；账目
accountancy	n. 会计工作； 会计学
accountant	n. 会计人员， 会计师
accumulate	v. 积累， 堆积
accuracy	n. 准确（性）；准确度
accurate	adj. 准确的， 正确无误的
accusation	n. 谴责； 【律】 指控
accuse	vt. 指责， 归咎于
accustom	v. 使习惯
accustomed	adj. 惯常的， 习惯的
ache	vi. 疼痛；渴望 n. 疼痛
achieve	v. 完成，实现；达到
achievement	n. 完成； 成就， 成绩
acid	adj. 酸的， 酸性的 n. 酸
acknowledge	vt. 承认， 承认…的权威； 告知收到， 确认； 对…表示感谢， 报偿
acquaint	vt. 使认识， 使了解
acquaintance	n. 认识， 了解； 熟人
acquire	vt. 取得， 获得， 学到
acquisition	n. 取得， 获得， 习得； 获得物， 增添的人
acre	n. 英亩
across	prep. 横过；在…对面
act	v. 行动；见效 n. 行为
action	n. 行动； 已做的事； 作用， 功能； 情节
active	adj. 活跃的， 积极的； 主动的； 起作用的
activity	n. 活动； 活力； 行动
actor	n. 演剧的人
actress	n. 女演员
actual	adj. 实际的
actually	adv. 实际上；竟然
acute	adj. 严重的； 急性的； 灵敏的， 敏锐的； 精明的
ad	n. 广告
adapt	vt. 使适应； 改编
add	v. 添加，附加，掺加
addiction	n. 上瘾
addition	n. 加， 加法； 附加物
additional	adj. 附加的， 追加的
address	n. 地址；演说
adequate	adj. 足够的； 可以胜任的
adjective	n. 形容词
adjust	vt. 调整， 调节， 校正
administration	n. 管理； 管理部门， 行政机关； 实行， 执行
administrative	adj. 管理的
admiration	n. 钦佩，称赞
admire	vt. 钦佩， 羡慕； 赞赏， 称赞， 夸奖
admission	n. 允许进入； 承认； 入场费， 入场券
admit	vt. 承认， 供认； 准许…进入
adopt	vt. 收养； 采用， 采取； 正式通过， 批准
adoptive	adj. 收养关系的； 采用的
